"","housenumber","street","city","state","zip","country"
"1","House Number Not Found","Street Not Found","Aachen","North Rhine-Westphalia","52062","Germany"
"2","House Number Not Found","Street Not Found","Aarhus","Central Denmark Region","8240","Denmark"
"3","House Number Not Found","Street Not Found","Abee","Alberta","Postcode Not Found","Canada"
"4","House Number Not Found","Street Not Found","Acapulco","Guerrero","39300","Mexico"
"5","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"6","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Pakistan"
"7","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"8","House Number Not Found","Street Not Found","Agen","New Aquitaine","47000","France"
"9","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"10","House Number Not Found","Street Not Found","Capilla del Monte","Córdoba","X5166","Argentina"
"11","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"12","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"13","House Number Not Found","Street Not Found","Roquetoire","Nord-Pas-de-Calais and Picardy","62120","France"
"14","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"15","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"16","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"17","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"18","House Number Not Found","Prince Naif Bin Abdul Aziz Road","Abyar Ali","Al Madinah Region","41475","Saudi Arabia"
"19","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"20","House Number Not Found","Street Not Found","Alès","Occitania","30100","France"
"21","House Number Not Found","Street Not Found","Castelfranco Emilia","Emilia-Romagna","41015","Italy"
"22","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"23","House Number Not Found","Street Not Found","Alby-sur-Chéran","Auvergne-Rhône-Alpes","74540","France"
"24","House Number Not Found","Eastington Road","Cotswold","England","GL54 3QZ","United Kingdom"
"25","House Number Not Found","Street Not Found","Aleppo","Aleppo","15310","Syria"
"26","House Number Not Found","Street Not Found","Tortona","Piemont","15047","Italy"
"27","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"28","House Number Not Found","Street Not Found","City Not Found","Lombardy","Postcode Not Found","Italy"
"29","House Number Not Found","Street Not Found","Millgrove","Michigan","49010","United States of America"
"30","House Number Not Found","Street Not Found","Pueblito de Allende","Chihuahua","33920","Mexico"
"31","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"32","House Number Not Found","Street Not Found","City Not Found","Kirkuk","Postcode Not Found","Iraq"
"33","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"34","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"35","House Number Not Found","Street Not Found","Andover","Maine","04216","United States of America"
"36","House Number Not Found","Street Not Found","Kramatorsk","Donetsk Oblast","84300-84390","Ukraine"
"37","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"38","House Number Not Found","Street Not Found","Angers","Pays de la Loire","4900","France"
"39","House Number Not Found","Street Not Found","Angra dos Reis","Rio de Janeiro","23934-200","Brazil"
"40","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"41","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"42","House Number Not Found","National Route 7 Bypass","Aomori","Aomori Prefecture","0300943","Japan"
"43","House Number Not Found","Street Not Found","West Lancashire","England","WN6 9AJ","United Kingdom"
"44","House Number Not Found","Street Not Found","Apt","Provence-Alpes-Côte d'Azur","84400","France"
"45","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"46","House Number Not Found","Street Not Found","Austin","Missouri","64725","United States of America"
"47","House Number Not Found","Street Not Found","Villa Laura","Santa Fe","Postcode Not Found","Argentina"
"48","House Number Not Found","Street Not Found","Asco","Corsica","20276","France"
"49","House Number Not Found","Street Not Found","Cottonwood","Texas","Postcode Not Found","United States of America"
"50","House Number Not Found","Walden Road","Uttlesford","England","CB10 2HQ","United Kingdom"
"51","House Number Not Found","Street Not Found","Assisi","Umbria","06081","Italy"
